Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
GUAA_HUMAN,0.693,0.818,0.735,1.0,0.088,0.636,0.058971,11,34,45
SPTN1_HUMAN,0.693,0.727,0.765,1.0,0.206,0.407,0.058979,11,34,45
TBB2A_HUMAN,0.693,0.818,0.559,1.0,0.324,0.799,0.058979,11,34,45
SAMD9_HUMAN,0.693,0.727,0.735,1.0,0.0,-0.591,0.058979,11,34,45
CREL2_HUMAN,0.693,0.909,0.5,1.0,0.235,0.597,0.058979,11,34,45
DNJC9_HUMAN,0.693,0.818,0.588,1.0,0.235,0.597,0.058979,11,34,45
ACON_HUMAN,0.693,0.636,0.824,1.0,0.088,0.639,0.058979,11,34,45
MCMBP_HUMAN,0.693,0.727,0.765,1.0,0.029,0.536,0.058979,11,34,45
BAF_HUMAN,0.69,0.818,0.559,1.0,0.206,0.829,0.062612,11,34,45
GTR1_HUMAN,0.69,0.909,0.529,1.0,0.412,1.075,0.062612,11,34,45
PYR1_HUMAN,0.69,0.818,0.588,1.0,0.147,0.688,0.062612,11,34,45
PSB10_HUMAN,0.69,0.545,0.853,1.0,0.176,-0.811,0.062612,11,34,45
GDS1_HUMAN,0.69,0.818,0.676,1.0,0.0,0.496,0.062612,11,34,45
NID2_HUMAN,0.69,0.818,0.647,1.0,0.0,1.156,0.062612,11,34,45
CDC73_HUMAN,0.69,0.909,0.559,1.0,0.059,0.434,0.062612,11,34,45
THOC2_HUMAN,0.69,0.727,0.676,1.0,0.206,0.502,0.062612,11,34,45
STMN2_HUMAN,0.69,0.909,0.559,1.0,0.147,0.703,0.062612,11,34,45
HV338_HUMAN,0.687,0.636,0.735,1.0,0.235,-0.553,0.066428,11,34,45
CATL2_HUMAN,0.687,0.818,0.588,1.0,0.265,-0.567,0.066428,11,34,45
ITB1_HUMAN,0.687,0.455,0.912,1.0,0.176,0.475,0.066428,11,34,45
GDIA_HUMAN,0.687,0.727,0.706,1.0,0.147,0.364,0.066428,11,34,45
RPAB3_HUMAN,0.687,0.545,0.882,1.0,0.0,0.359,0.066428,11,34,45
NPC2_HUMAN,0.687,0.636,0.794,1.0,0.206,-0.781,0.066428,11,34,45
IWS1_HUMAN,0.687,0.818,0.559,1.0,0.206,0.478,0.066428,11,34,45
PALMD_HUMAN,0.687,0.636,0.794,1.0,0.029,-0.934,0.066428,11,34,45
HV64D_HUMAN,0.684,0.545,0.824,1.0,0.176,-0.607,0.070433,11,34,45
XPO1_HUMAN,0.684,0.636,0.853,1.0,0.118,0.491,0.070433,11,34,45
IGJ_HUMAN,0.684,0.636,0.706,1.0,0.176,-0.613,0.070433,11,34,45
ASPG_HUMAN,0.684,0.545,0.882,1.0,0.147,-0.564,0.070433,11,34,45
GLRX3_HUMAN,0.684,0.636,0.794,1.0,0.118,0.513,0.070433,11,34,45
LBP_HUMAN,0.684,0.636,0.853,1.0,0.118,0.569,0.070433,11,34,45
HSP74_HUMAN,0.684,0.818,0.618,1.0,0.088,0.459,0.070424,11,34,45
ASAH1_HUMAN,0.684,0.818,0.559,1.0,0.118,-0.707,0.070433,11,34,45
HIBCH_HUMAN,0.684,1.0,0.353,1.0,0.353,0.54,0.070433,11,34,45
TXND5_HUMAN,0.684,0.909,0.441,1.0,0.235,0.545,0.070433,11,34,45
HECD1_HUMAN,0.684,0.818,0.588,1.0,0.118,0.444,0.070433,11,34,45
STA10_HUMAN,0.684,0.909,0.471,1.0,0.265,-0.793,0.070433,11,34,45
FXR1_HUMAN,0.682,0.636,0.853,1.0,0.0,0.521,0.074634,11,34,45
CKAP5_HUMAN,0.682,0.727,0.794,1.0,0.0,0.513,0.074634,11,34,45
RBG1L_HUMAN,0.682,0.636,0.824,1.0,0.059,0.511,0.074634,11,34,45
TOIP2_HUMAN,0.682,0.455,0.882,1.0,0.176,0.442,0.074634,11,34,45
PXDN_HUMAN,0.682,1.0,0.353,1.0,0.353,0.573,0.074634,11,34,45
PLCB1_HUMAN,0.682,0.727,0.706,1.0,0.0,-0.756,0.074634,11,34,45
UBP15_HUMAN,0.682,0.727,0.618,1.0,0.176,0.354,0.074634,11,34,45
CLUS_HUMAN,0.679,0.909,0.5,1.0,0.147,-0.474,0.079038,11,34,45
PLEK_HUMAN,0.679,0.818,0.559,1.0,0.088,-0.475,0.079028,11,34,45
THIO_HUMAN,0.679,0.545,0.882,1.0,0.176,-0.393,0.079038,11,34,45
PP2BB_HUMAN,0.679,0.636,0.853,1.0,0.176,0.316,0.079038,11,34,45
AP1S1_HUMAN,0.679,0.727,0.647,1.0,0.147,0.519,0.079038,11,34,45
GOGB1_HUMAN,0.679,0.545,0.824,1.0,0.353,0.285,0.079038,11,34,45
RNPS1_HUMAN,0.679,0.545,0.824,1.0,0.176,0.662,0.079038,11,34,45
DREB_HUMAN,0.679,0.364,0.971,1.0,0.294,0.731,0.079038,11,34,45
VMAC_HUMAN,0.679,0.636,0.735,1.0,0.0,-0.673,0.079038,11,34,45
CRLF3_HUMAN,0.679,0.636,0.853,1.0,0.176,0.389,0.079038,11,34,45
CANT1_HUMAN,0.679,0.909,0.5,1.0,0.382,-0.9,0.079038,11,34,45
PDCL3_HUMAN,0.679,0.818,0.647,1.0,0.147,0.645,0.079038,11,34,45
STAU2_HUMAN,0.679,0.818,0.735,1.0,0.0,0.38,0.079038,11,34,45
IMPA3_HUMAN,0.679,0.909,0.5,1.0,0.0,0.371,0.079038,11,34,45
VATH_HUMAN,0.679,0.545,0.824,1.0,0.088,0.36,0.079038,11,34,45
KV621_HUMAN,0.676,0.727,0.676,1.0,0.147,-0.623,0.083651,11,34,45
RAD21_HUMAN,0.676,0.636,0.882,1.0,0.176,0.493,0.083651,11,34,45
CLAP2_HUMAN,0.676,0.727,0.735,1.0,0.088,0.456,0.083651,11,34,45
HLAA_HUMAN,0.676,0.364,1.0,1.0,0.059,-0.55,0.083651,11,34,45
AMPN_HUMAN,0.676,0.727,0.647,1.0,0.294,-1.08,0.083651,11,34,45
CO5A1_HUMAN,0.676,0.909,0.441,1.0,0.176,0.482,0.083651,11,34,45
CD9_HUMAN,0.676,1.0,0.353,1.0,0.353,-1.088,0.083651,11,34,45
CNTN1_HUMAN,0.676,0.909,0.441,1.0,0.235,-0.796,0.083651,11,34,45
PSMD6_HUMAN,0.676,0.727,0.618,1.0,0.059,0.416,0.083651,11,34,45
NEB2_HUMAN,0.676,0.545,0.853,1.0,0.176,0.385,0.083651,11,34,45
XPO5_HUMAN,0.676,0.818,0.647,1.0,0.147,0.543,0.083651,11,34,45
SAMH1_HUMAN,0.676,0.545,0.882,1.0,0.059,-0.76,0.083651,11,34,45
TFR1_HUMAN,0.674,0.727,0.618,1.0,0.029,0.557,0.088479,11,34,45
CSF1R_HUMAN,0.674,0.455,0.912,1.0,0.118,-0.518,0.088479,11,34,45
ALDOA_HUMAN,0.674,0.636,0.765,1.0,0.206,0.416,0.088479,11,34,45
CATS_HUMAN,0.674,0.818,0.559,1.0,0.235,-0.753,0.088479,11,34,45
NAMPT_HUMAN,0.674,0.545,0.882,1.0,0.088,0.347,0.088479,11,34,45
HXK2_HUMAN,0.674,0.455,0.882,1.0,0.0,0.58,0.088479,11,34,45
IL16_HUMAN,0.674,0.545,0.853,1.0,0.059,-0.662,0.088479,11,34,45
DOK3_HUMAN,0.674,0.636,0.794,1.0,0.088,-0.503,0.088479,11,34,45
MEGF8_HUMAN,0.674,0.545,0.794,1.0,0.294,-0.557,0.088479,11,34,45
NCDN_HUMAN,0.674,0.727,0.706,1.0,0.088,0.439,0.088479,11,34,45
NS1BP_HUMAN,0.674,0.455,0.941,1.0,0.0,0.408,0.088479,11,34,45
CCS_HUMAN,0.671,0.636,0.676,1.0,0.235,0.473,0.09353,11,34,45
NHRF1_HUMAN,0.671,0.455,0.941,1.0,0.059,-0.774,0.09353,11,34,45
GMDS_HUMAN,0.671,0.818,0.5,1.0,0.147,-0.724,0.09353,11,34,45
SKAP2_HUMAN,0.671,0.545,0.853,1.0,0.088,-0.563,0.09353,11,34,45
DCUP_HUMAN,0.671,0.909,0.412,1.0,0.088,0.503,0.09353,11,34,45
AT1A1_HUMAN,0.671,0.727,0.676,1.0,0.088,0.576,0.09353,11,34,45
PPBT_HUMAN,0.671,0.455,0.853,1.0,0.147,-1.439,0.09353,11,34,45
EF2_HUMAN,0.671,0.636,0.824,1.0,0.029,0.322,0.09353,11,34,45
TFIP8_HUMAN,0.671,0.727,0.618,1.0,0.118,-0.515,0.09353,11,34,45
CBX5_HUMAN,0.671,0.636,0.765,1.0,0.088,0.422,0.09353,11,34,45
THOP1_HUMAN,0.671,0.636,0.765,1.0,0.118,0.387,0.09353,11,34,45
XPO2_HUMAN,0.671,0.727,0.706,1.0,0.059,0.44,0.09353,11,34,45
IMB1_HUMAN,0.671,0.727,0.735,1.0,0.118,0.429,0.09353,11,34,45
GLGB_HUMAN,0.671,0.545,0.853,1.0,0.059,0.427,0.09353,11,34,45
FL2D_HUMAN,0.671,0.545,0.853,1.0,0.118,0.374,0.09353,11,34,45
ECM1_HUMAN,0.671,0.909,0.441,1.0,0.324,-0.631,0.09353,11,34,45
TOIP1_HUMAN,0.671,0.727,0.706,1.0,0.088,0.326,0.09353,11,34,45
TARSH_HUMAN,0.671,0.636,0.647,1.0,0.147,-0.562,0.09353,11,34,45
NHLC2_HUMAN,0.671,0.636,0.794,1.0,0.029,0.373,0.09353,11,34,45
IRGQ_HUMAN,0.671,0.818,0.618,1.0,0.118,0.396,0.09353,11,34,45
GBF1_HUMAN,0.671,0.727,0.618,1.0,0.0,0.359,0.09353,11,34,45
DOCK2_HUMAN,0.671,0.818,0.588,1.0,0.029,-0.498,0.09353,11,34,45
HMHA1_HUMAN,0.671,0.636,0.824,1.0,0.029,-0.435,0.09353,11,34,45
RMD1_HUMAN,0.671,0.818,0.618,1.0,0.265,0.544,0.09353,11,34,45
KBP_HUMAN,0.671,0.636,0.765,1.0,0.0,0.426,0.09353,11,34,45
NENF_HUMAN,0.671,0.818,0.618,1.0,0.206,0.471,0.09353,11,34,45
MPRI_HUMAN,0.668,0.818,0.588,1.0,0.059,0.394,0.098809,11,34,45
AOC1_HUMAN,0.668,0.727,0.735,1.0,0.0,-1.113,0.098809,11,34,45
RIR1_HUMAN,0.668,0.818,0.559,1.0,0.088,0.705,0.098809,11,34,45
RPB1_HUMAN,0.668,0.636,0.765,1.0,0.059,0.439,0.098809,11,34,45
GFRP_HUMAN,0.668,0.455,0.882,1.0,0.176,-0.643,0.098809,11,34,45
CRIP1_HUMAN,0.668,0.545,0.824,1.0,0.147,-1.259,0.098809,11,34,45
EIF3E_HUMAN,0.668,0.636,0.794,1.0,0.059,0.388,0.098809,11,34,45
MSLN_HUMAN,0.668,0.455,0.882,1.0,0.265,-1.514,0.098809,11,34,45
MCM6_HUMAN,0.668,0.909,0.559,1.0,0.118,0.704,0.098809,11,34,45
POSTN_HUMAN,0.668,0.636,0.794,1.0,0.147,1.162,0.098809,11,34,45
DDB1_HUMAN,0.668,0.818,0.559,1.0,0.147,0.359,0.098809,11,34,45
IMA3_HUMAN,0.666,0.636,0.735,1.0,0.147,0.347,0.104324,11,34,45
ETHE1_HUMAN,0.666,0.818,0.529,1.0,0.294,0.302,0.104324,11,34,45
PCNA_HUMAN,0.666,0.818,0.647,1.0,0.118,0.6,0.104324,11,34,45
EF1G_HUMAN,0.666,0.727,0.676,1.0,0.088,0.382,0.104324,11,34,45
GRP75_HUMAN,0.666,0.636,0.824,1.0,0.029,0.538,0.104324,11,34,45
AMRP_HUMAN,0.666,1.0,0.353,1.0,0.353,0.492,0.104324,11,34,45
MCM2_HUMAN,0.666,0.909,0.529,1.0,0.118,0.671,0.104324,11,34,45
H33_HUMAN,0.666,0.727,0.588,1.0,0.294,0.918,0.104324,11,34,45
GPNMB_HUMAN,0.666,0.909,0.441,1.0,0.147,-0.618,0.104324,11,34,45
MD2L1_HUMAN,0.666,0.545,0.824,1.0,0.176,0.675,0.104324,11,34,45
ITSN1_HUMAN,0.666,0.909,0.412,1.0,0.294,0.472,0.104324,11,34,45
URP2_HUMAN,0.666,0.636,0.794,1.0,0.118,-0.459,0.104324,11,34,45
MUC5B_HUMAN,0.666,0.636,0.706,1.0,0.235,-1.563,0.104324,11,34,45
FCGBP_HUMAN,0.666,1.0,0.382,1.0,0.382,-1.025,0.104324,11,34,45
IPO5_HUMAN,0.663,0.727,0.647,1.0,0.147,0.522,0.110069,11,34,45
FYB1_HUMAN,0.663,0.636,0.735,1.0,0.118,-0.552,0.11008,11,34,45
GMFG_HUMAN,0.663,0.455,0.912,1.0,0.088,-0.652,0.11008,11,34,45
KV117_HUMAN,0.663,1.0,0.382,1.0,0.382,-0.592,0.11008,11,34,45
PEPD_HUMAN,0.663,0.818,0.559,1.0,0.147,-0.36,0.11008,11,34,45
HLAE_HUMAN,0.663,1.0,0.382,1.0,0.382,-0.547,0.11008,11,34,45
PLST_HUMAN,0.663,0.636,0.735,1.0,0.176,0.498,0.11008,11,34,45
NDKA_HUMAN,0.663,0.818,0.529,1.0,0.324,0.426,0.11008,11,34,45
TSP4_HUMAN,0.663,0.545,0.912,1.0,0.147,0.651,0.11008,11,34,45
MYH9_HUMAN,0.663,0.545,0.794,1.0,0.147,0.704,0.11008,11,34,45
RAGP1_HUMAN,0.663,0.545,0.794,1.0,0.147,0.464,0.11008,11,34,45
GDIB_HUMAN,0.663,0.636,0.794,1.0,0.147,0.296,0.11008,11,34,45
LAP2A_HUMAN,0.663,0.636,0.765,1.0,0.0,0.317,0.11008,11,34,45
NASP_HUMAN,0.663,0.818,0.588,1.0,0.147,0.622,0.11008,11,34,45
CH10_HUMAN,0.663,0.818,0.618,1.0,0.176,0.667,0.11008,11,34,45
NGAL_HUMAN,0.663,0.545,0.794,1.0,0.206,-1.243,0.11008,11,34,45
BST2_HUMAN,0.663,0.818,0.588,1.0,0.088,-1.222,0.11008,11,34,45
SAFB1_HUMAN,0.663,0.455,0.912,1.0,0.059,0.397,0.11008,11,34,45
FSCN1_HUMAN,0.663,0.909,0.471,1.0,0.324,0.726,0.11008,11,34,45
IF16_HUMAN,0.663,0.545,0.824,1.0,0.0,-0.715,0.11008,11,34,45
UBP39_HUMAN,0.663,0.727,0.618,1.0,0.206,0.505,0.11008,11,34,45
CLAP1_HUMAN,0.663,0.636,0.794,1.0,0.059,0.362,0.11008,11,34,45
ARRD1_HUMAN,0.663,0.818,0.5,1.0,0.088,-0.933,0.11008,11,34,45
TPC12_HUMAN,0.663,0.545,0.794,1.0,0.118,0.411,0.11008,11,34,45
ELMO1_HUMAN,0.663,0.818,0.618,1.0,0.029,-0.449,0.11008,11,34,45
EIF3C_HUMAN,0.663,0.636,0.735,1.0,0.059,0.472,0.11008,11,34,45
MTNA_HUMAN,0.663,1.0,0.382,1.0,0.382,0.523,0.11008,11,34,45
TENS1_HUMAN,0.663,0.727,0.618,1.0,0.265,-0.475,0.11008,11,34,45
SMC4_HUMAN,0.663,0.909,0.471,1.0,0.176,0.759,0.11008,11,34,45
NDRG2_HUMAN,0.663,0.818,0.5,1.0,0.176,-0.535,0.11008,11,34,45
PHOCN_HUMAN,0.663,0.545,0.824,1.0,0.0,0.412,0.11008,11,34,45
3BP1_HUMAN,0.663,0.727,0.647,1.0,0.206,0.44,0.11008,11,34,45
PROM1_HUMAN,0.66,0.455,0.824,1.0,0.059,-1.485,0.116085,11,34,45
LEG1_HUMAN,0.66,0.636,0.765,1.0,0.176,0.454,0.116085,11,34,45
ISG15_HUMAN,0.66,0.818,0.588,1.0,0.059,-0.607,0.116085,11,34,45
ACADV_HUMAN,0.66,0.727,0.647,1.0,0.147,0.405,0.116085,11,34,45
SSBP_HUMAN,0.66,1.0,0.353,1.0,0.353,0.658,0.116085,11,34,45
ASPH_HUMAN,0.66,0.636,0.676,1.0,0.265,0.332,0.116085,11,34,45
LCP2_HUMAN,0.66,0.727,0.706,1.0,0.118,-0.483,0.116085,11,34,45
EIF3A_HUMAN,0.66,0.636,0.794,1.0,0.059,0.425,0.116085,11,34,45
TRM5_HUMAN,0.66,0.636,0.735,1.0,0.059,0.481,0.116085,11,34,45
SMYD5_HUMAN,0.66,0.818,0.529,1.0,0.206,0.54,0.116073,11,34,45
SCYL2_HUMAN,0.66,0.727,0.794,1.0,0.029,0.339,0.116085,11,34,45
GLMN_HUMAN,0.66,0.636,0.794,1.0,0.029,0.509,0.116085,11,34,45
ISOC1_HUMAN,0.66,0.545,0.853,1.0,0.029,-0.546,0.116085,11,34,45
API5_HUMAN,0.66,0.818,0.588,1.0,0.029,0.289,0.116085,11,34,45
SPE39_HUMAN,0.66,0.545,0.824,1.0,0.059,-0.407,0.116085,11,34,45
PININ_HUMAN,0.66,0.545,0.853,1.0,0.088,0.414,0.116085,11,34,45
LZTL1_HUMAN,0.66,0.818,0.5,1.0,0.147,-0.476,0.116085,11,34,45
PICK1_HUMAN,0.66,0.636,0.735,1.0,0.147,-0.451,0.116085,11,34,45
