Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
AGR2_HUMAN,0.752,0.878,0.636,0.951,0.273,1.614,0.011345,41,11,52
CRYAB_HUMAN,0.752,0.927,0.455,0.976,0.364,-1.623,0.011345,41,11,52
AFAD_HUMAN,0.752,0.902,0.545,0.951,0.182,0.706,0.011345,41,11,52
RAB25_HUMAN,0.752,0.829,0.636,1.0,0.273,0.934,0.011345,41,11,52
PTK7_HUMAN,0.752,0.634,0.818,1.0,0.182,0.905,0.011345,41,11,52
ERMP1_HUMAN,0.752,0.878,0.636,0.951,0.455,0.811,0.011345,41,11,52
ELMO1_HUMAN,0.752,0.78,0.727,0.951,0.273,0.726,0.011345,41,11,52
CLIC6_HUMAN,0.752,0.488,1.0,1.0,0.091,1.452,0.011345,41,11,52
AVEN_HUMAN,0.752,0.634,0.909,0.951,0.182,0.628,0.011345,41,11,52
SAE2_HUMAN,0.752,0.732,0.818,0.951,0.273,-0.49,0.011345,41,11,52
PIGR_HUMAN,0.749,0.488,0.909,0.951,0.364,1.951,0.012091,41,11,52
CD9_HUMAN,0.749,0.951,0.455,0.951,0.455,1.36,0.012091,41,11,52
GARS_HUMAN,0.749,0.707,0.727,1.0,0.091,-0.713,0.012091,41,11,52
PSMF1_HUMAN,0.749,0.951,0.545,0.951,0.545,-0.604,0.012091,41,11,52
NDRG2_HUMAN,0.749,0.537,0.909,0.976,0.273,0.821,0.012091,41,11,52
DCUP_HUMAN,0.747,0.756,0.727,0.951,0.182,-0.685,0.01288,41,11,52
OCLN_HUMAN,0.747,0.537,0.909,0.951,0.364,1.015,0.01288,41,11,52
TBL1R_HUMAN,0.747,0.902,0.727,0.951,0.545,-1.052,0.01288,41,11,52
HV309_HUMAN,0.745,0.829,0.636,0.951,0.364,-0.67,0.013714,41,11,52
TMF1_HUMAN,0.745,0.854,0.545,0.951,0.364,0.535,0.013714,41,11,52
PCM1_HUMAN,0.745,0.659,0.909,1.0,0.091,0.596,0.013714,41,11,52
UBE2O_HUMAN,0.745,0.707,0.727,1.0,0.091,-0.582,0.013714,41,11,52
MOG1_HUMAN,0.745,0.732,0.727,0.976,0.182,0.869,0.013714,41,11,52
PUR1_HUMAN,0.743,0.585,0.909,0.951,0.182,-0.827,0.014596,41,11,52
SH24A_HUMAN,0.743,0.951,0.636,0.951,0.636,1.118,0.014596,41,11,52
HV323_HUMAN,0.741,0.902,0.545,0.951,0.455,-0.581,0.015527,41,11,52
AMD_HUMAN,0.741,0.78,0.727,0.951,0.455,1.328,0.015527,41,11,52
PROP_HUMAN,0.741,0.659,0.909,1.0,0.182,-0.473,0.015527,41,11,52
PA24A_HUMAN,0.741,0.829,0.545,0.976,0.364,1.347,0.015527,41,11,52
COMP_HUMAN,0.741,0.683,0.818,0.951,0.273,-0.872,0.015527,41,11,52
SLFN5_HUMAN,0.741,0.878,0.545,0.951,0.273,1.053,0.015527,41,11,52
ISOC1_HUMAN,0.741,0.878,0.636,1.0,0.182,0.768,0.015527,41,11,52
GLTP_HUMAN,0.741,0.976,0.455,0.976,0.455,0.737,0.015527,41,11,52
MYO1F_HUMAN,0.738,0.829,0.636,0.976,0.182,0.553,0.01651,41,11,52
STX3_HUMAN,0.738,0.659,0.818,1.0,0.273,0.917,0.01651,41,11,52
COR2A_HUMAN,0.738,0.732,0.818,1.0,0.182,0.519,0.01651,41,11,52
MYOF_HUMAN,0.738,0.683,0.818,0.976,0.182,0.875,0.01651,41,11,52
CO1A2_HUMAN,0.736,0.659,0.818,0.951,0.273,1.078,0.017547,41,11,52
F16P1_HUMAN,0.736,0.927,0.636,0.951,0.455,1.05,0.017547,41,11,52
GRAN_HUMAN,0.736,0.61,0.818,0.951,0.364,0.795,0.017547,41,11,52
S12A2_HUMAN,0.736,0.732,0.727,0.951,0.182,1.007,0.017547,41,11,52
DSC2_HUMAN,0.736,0.488,0.909,1.0,0.182,1.151,0.017547,41,11,52
IQGA2_HUMAN,0.736,0.732,0.727,0.976,0.273,0.991,0.017547,41,11,52
PDCD4_HUMAN,0.736,0.659,0.818,1.0,0.091,0.948,0.017547,41,11,52
PGRP2_HUMAN,0.736,0.659,0.818,0.976,0.091,-0.426,0.017547,41,11,52
SEPT5_HUMAN,0.736,0.561,0.909,1.0,0.0,-0.533,0.017547,41,11,52
DDAH1_HUMAN,0.734,0.854,0.636,0.951,0.455,0.981,0.018641,41,11,52
ECH1_HUMAN,0.734,0.78,0.636,0.951,0.182,-0.761,0.018641,41,11,52
NRCAM_HUMAN,0.734,0.561,1.0,0.951,0.273,1.489,0.018641,41,11,52
FCGBP_HUMAN,0.734,0.561,0.909,0.976,0.273,1.228,0.018641,41,11,52
IMDH2_HUMAN,0.732,0.561,0.818,1.0,0.273,-0.768,0.019794,41,11,52
PYR1_HUMAN,0.732,0.61,0.818,1.0,0.364,-0.829,0.019794,41,11,52
PSB8_HUMAN,0.732,0.634,0.818,1.0,0.091,0.75,0.019794,41,11,52
PBLD_HUMAN,0.732,0.659,0.818,1.0,0.091,1.054,0.019794,41,11,52
CTNB1_HUMAN,0.732,0.537,0.909,0.976,0.273,0.881,0.019794,41,11,52
S10AA_HUMAN,0.732,0.561,0.909,1.0,0.091,0.886,0.019794,41,11,52
MXRA5_HUMAN,0.732,0.854,0.545,1.0,0.273,1.115,0.019794,41,11,52
FBX4_HUMAN,0.732,0.78,0.727,0.951,0.273,0.574,0.019794,41,11,52
K1C18_HUMAN,0.729,0.805,0.727,0.951,0.455,1.231,0.021009,41,11,52
CATB_HUMAN,0.729,0.854,0.545,1.0,0.273,0.952,0.021009,41,11,52
RET1_HUMAN,0.729,0.805,0.636,0.976,0.273,1.392,0.021009,41,11,52
DESP_HUMAN,0.729,0.829,0.636,1.0,0.364,0.902,0.021009,41,11,52
TM1L2_HUMAN,0.729,0.561,0.909,0.951,0.273,0.463,0.021009,41,11,52
DHX32_HUMAN,0.729,0.78,0.636,1.0,0.182,0.618,0.021009,41,11,52
CADM4_HUMAN,0.729,0.902,0.545,0.976,0.091,0.788,0.021009,41,11,52
VP37B_HUMAN,0.729,0.561,1.0,0.976,0.182,0.671,0.021009,41,11,52
HPBP1_HUMAN,0.729,0.805,0.636,0.951,0.364,-0.58,0.021009,41,11,52
E41L2_HUMAN,0.727,0.707,0.818,1.0,0.0,0.75,0.022289,41,11,52
CH60_HUMAN,0.727,0.756,0.636,1.0,0.182,-0.827,0.022289,41,11,52
FMOD_HUMAN,0.727,0.683,0.727,0.976,0.273,1.599,0.022289,41,11,52
IL18_HUMAN,0.727,0.854,0.727,1.0,0.091,0.648,0.022289,41,11,52
IFT27_HUMAN,0.727,0.585,0.909,1.0,0.091,0.749,0.022289,41,11,52
DOCK9_HUMAN,0.727,0.756,0.636,0.951,0.364,0.536,0.022289,41,11,52
SEM4B_HUMAN,0.727,0.976,0.545,0.976,0.545,1.031,0.022289,41,11,52
SAE1_HUMAN,0.727,0.78,0.727,0.951,0.273,-0.529,0.022289,41,11,52
VMA5A_HUMAN,0.725,0.756,0.727,0.976,0.273,0.875,0.023635,41,11,52
LYN_HUMAN,0.725,0.829,0.636,0.951,0.182,0.682,0.023635,41,11,52
PCDH1_HUMAN,0.725,0.78,0.636,1.0,0.182,1.044,0.023635,41,11,52
UBP25_HUMAN,0.725,0.707,0.727,1.0,0.182,-0.409,0.023635,41,11,52
KIF1B_HUMAN,0.723,0.659,0.818,0.951,0.273,-0.501,0.025052,41,11,52
CMGA_HUMAN,0.723,0.805,0.727,0.976,0.091,2.119,0.025052,41,11,52
SNAA_HUMAN,0.723,0.805,0.727,1.0,0.182,-0.45,0.025052,41,11,52
DSG2_HUMAN,0.723,0.951,0.455,0.951,0.455,1.007,0.025052,41,11,52
PKN1_HUMAN,0.723,0.805,0.727,0.951,0.455,-0.545,0.025052,41,11,52
BAG1_HUMAN,0.723,0.488,1.0,0.976,0.091,0.654,0.025052,41,11,52
CPVL_HUMAN,0.723,0.585,0.818,0.951,0.273,-1.131,0.025052,41,11,52
SIAS_HUMAN,0.723,0.537,0.909,0.951,0.273,0.66,0.025052,41,11,52
STA10_HUMAN,0.723,0.951,0.455,0.951,0.455,0.916,0.025052,41,11,52
IPO5_HUMAN,0.721,0.366,1.0,0.951,0.364,-0.691,0.026538,41,11,52
PIR_HUMAN,0.721,0.902,0.636,0.951,0.545,0.698,0.026542,41,11,52
F16P2_HUMAN,0.721,0.902,0.545,1.0,0.273,1.078,0.026542,41,11,52
BACH_HUMAN,0.721,0.878,0.545,0.976,0.273,-0.995,0.026542,41,11,52
NCF4_HUMAN,0.721,0.634,0.818,0.951,0.364,0.599,0.026542,41,11,52
CD109_HUMAN,0.721,0.512,0.909,1.0,0.0,1.301,0.026542,41,11,52
ACON_HUMAN,0.721,0.659,0.818,0.976,0.091,-0.629,0.026542,41,11,52
FHR5_HUMAN,0.721,0.537,0.909,1.0,0.091,-0.62,0.026542,41,11,52
LIMA1_HUMAN,0.721,0.854,0.545,0.951,0.273,0.681,0.026542,41,11,52
CCS_HUMAN,0.718,0.756,0.636,1.0,0.0,-0.491,0.028107,41,11,52
PROM1_HUMAN,0.718,0.805,0.545,0.976,0.364,1.885,0.028107,41,11,52
CYTC_HUMAN,0.718,0.439,1.0,1.0,0.182,0.95,0.028107,41,11,52
MAOX_HUMAN,0.718,0.732,0.727,0.951,0.273,-0.89,0.028107,41,11,52
PI42A_HUMAN,0.718,0.512,0.909,0.976,0.182,0.732,0.028107,41,11,52
FABPH_HUMAN,0.716,0.463,1.0,0.976,0.273,-1.237,0.029752,41,11,52
IPO9_HUMAN,0.716,0.512,0.909,0.951,0.182,-0.614,0.029752,41,11,52
1433S_HUMAN,0.714,0.878,0.545,1.0,0.273,1.337,0.031478,41,11,52
NRP2_HUMAN,0.712,0.39,1.0,0.976,0.182,0.925,0.03329,41,11,52
GSHR_HUMAN,0.712,0.659,0.727,0.951,0.364,0.684,0.03329,41,11,52
MUC1_HUMAN,0.712,0.854,0.545,0.951,0.364,1.887,0.03329,41,11,52
XPO2_HUMAN,0.712,0.78,0.636,1.0,0.091,-0.57,0.03329,41,11,52
PLOD1_HUMAN,0.712,0.537,0.818,1.0,0.273,-0.98,0.03329,41,11,52
SCRN1_HUMAN,0.712,0.732,0.727,0.951,0.273,-0.784,0.03329,41,11,52
MLEC_HUMAN,0.712,0.732,0.727,1.0,0.091,0.622,0.03329,41,11,52
GSLG1_HUMAN,0.712,0.854,0.545,0.951,0.364,0.604,0.03329,41,11,52
STX18_HUMAN,0.712,0.537,0.909,0.976,0.182,0.747,0.03329,41,11,52
UMAD1_HUMAN,0.71,0.829,0.636,0.976,0.273,0.702,0.03519,41,11,52
STC2_HUMAN,0.71,0.78,0.636,0.951,0.273,1.026,0.03519,41,11,52
YES_HUMAN,0.71,0.829,0.545,1.0,0.182,0.753,0.03519,41,11,52
PPIB_HUMAN,0.71,0.659,0.818,0.951,0.455,0.535,0.035186,41,11,52
EHD4_HUMAN,0.71,0.659,0.727,0.951,0.273,0.748,0.03519,41,11,52
PFD4_HUMAN,0.71,0.537,0.909,0.951,0.091,-0.547,0.03519,41,11,52
AGO2_HUMAN,0.71,0.829,0.636,0.951,0.273,-0.458,0.03519,41,11,52
LV218_HUMAN,0.707,0.78,0.636,0.976,0.182,-0.899,0.037182,41,11,52
NUDT3_HUMAN,0.707,0.756,0.636,0.951,0.182,-0.484,0.037182,41,11,52
PUR8_HUMAN,0.707,0.707,0.727,0.976,0.182,-0.438,0.037182,41,11,52
GANAB_HUMAN,0.707,0.732,0.636,0.951,0.364,-0.589,0.037182,41,11,52
PPCEL_HUMAN,0.707,0.463,0.909,0.951,0.182,-0.619,0.037182,41,11,52
DCNL1_HUMAN,0.707,0.463,0.909,0.951,0.182,-0.45,0.037182,41,11,52
STAU2_HUMAN,0.707,0.902,0.545,0.951,0.455,-0.523,0.037182,41,11,52
3BP1_HUMAN,0.707,0.512,0.909,0.951,0.364,-0.517,0.037182,41,11,52
IDHC_HUMAN,0.705,0.634,0.727,0.951,0.273,0.724,0.039269,41,11,52
LEG8_HUMAN,0.705,0.927,0.455,0.976,0.364,0.74,0.039269,41,11,52
QSOX1_HUMAN,0.705,0.39,1.0,1.0,0.182,0.879,0.039269,41,11,52
NPT2B_HUMAN,0.705,0.756,0.636,1.0,0.182,1.58,0.039269,41,11,52
NGAL_HUMAN,0.705,0.463,0.909,1.0,0.091,1.48,0.039269,41,11,52
GALT1_HUMAN,0.705,0.463,1.0,0.951,0.273,0.773,0.039269,41,11,52
NDRG1_HUMAN,0.705,0.756,0.727,1.0,0.091,-0.806,0.039269,41,11,52
C1QR1_HUMAN,0.705,0.537,0.909,0.951,0.364,0.484,0.039269,41,11,52
ASC_HUMAN,0.705,0.78,0.727,0.951,0.273,0.787,0.039269,41,11,52
TOM1_HUMAN,0.703,0.805,0.545,0.951,0.273,0.616,0.041455,41,11,52
C1QA_HUMAN,0.703,0.561,0.909,1.0,0.091,-0.663,0.041455,41,11,52
LEG3_HUMAN,0.703,0.878,0.636,0.951,0.455,0.701,0.041455,41,11,52
5NTD_HUMAN,0.703,0.366,1.0,1.0,0.182,1.715,0.041455,41,11,52
LCP2_HUMAN,0.703,0.659,0.818,0.976,0.182,0.551,0.041455,41,11,52
IF4A2_HUMAN,0.703,0.439,0.909,0.976,0.273,-0.645,0.041455,41,11,52
NB5R2_HUMAN,0.703,0.927,0.455,0.951,0.273,0.91,0.041455,41,11,52
DOCK2_HUMAN,0.703,0.805,0.727,0.951,0.182,0.603,0.041455,41,11,52
WASC3_HUMAN,0.703,0.683,0.727,0.951,0.182,0.631,0.041455,41,11,52
HS90B_HUMAN,0.701,0.902,0.545,0.951,0.455,-0.597,0.043743,41,11,52
EGLN_HUMAN,0.701,0.829,0.636,0.976,0.182,0.535,0.043743,41,11,52
LBP_HUMAN,0.701,0.683,0.727,1.0,0.091,-0.669,0.043743,41,11,52
CADH3_HUMAN,0.701,0.78,0.636,0.951,0.364,1.094,0.043743,41,11,52
FAS_HUMAN,0.701,0.61,0.727,1.0,0.273,-0.788,0.043743,41,11,52
ICLN_HUMAN,0.701,0.634,0.818,0.951,0.091,-0.655,0.043743,41,11,52
SBP1_HUMAN,0.701,0.805,0.636,0.951,0.455,0.778,0.043743,41,11,52
TATD1_HUMAN,0.701,0.854,0.545,0.951,0.091,-0.594,0.043743,41,11,52
PDLI5_HUMAN,0.701,0.732,0.636,1.0,0.091,0.565,0.043743,41,11,52
TBCB_HUMAN,0.701,0.951,0.455,0.951,0.455,-0.587,0.043743,41,11,52
OLFL3_HUMAN,0.701,0.927,0.455,0.951,0.273,0.817,0.043743,41,11,52
ITM2B_HUMAN,0.701,0.854,0.636,0.951,0.455,0.497,0.043743,41,11,52
PADI2_HUMAN,0.701,0.61,0.818,0.976,0.091,0.637,0.043743,41,11,52
K2C8_HUMAN,0.698,0.805,0.636,0.951,0.364,1.141,0.046137,41,11,52
K2C5_HUMAN,0.698,0.561,0.818,0.976,0.182,1.149,0.046137,41,11,52
DX39A_HUMAN,0.698,0.976,0.455,0.976,0.455,-0.657,0.046137,41,11,52
TRFL_HUMAN,0.698,0.805,0.545,1.0,0.182,1.637,0.046137,41,11,52
GNA11_HUMAN,0.698,0.537,0.818,0.951,0.364,1.005,0.046137,41,11,52
GDIA_HUMAN,0.698,0.707,0.727,0.976,0.091,-0.44,0.046137,41,11,52
RAB31_HUMAN,0.698,0.78,0.636,1.0,0.091,0.461,0.046137,41,11,52
TSN_HUMAN,0.698,0.805,0.636,1.0,0.182,-0.476,0.046137,41,11,52
TENS3_HUMAN,0.698,0.78,0.636,0.951,0.182,0.519,0.046137,41,11,52
ARI1B_HUMAN,0.698,0.878,0.545,0.951,0.273,0.609,0.046137,41,11,52
NUDC1_HUMAN,0.698,0.756,0.636,0.951,0.364,-0.592,0.046137,41,11,52
EHD2_HUMAN,0.698,0.732,0.727,0.976,0.091,0.537,0.046137,41,11,52
UBP15_HUMAN,0.698,0.78,0.636,1.0,0.091,-0.366,0.046137,41,11,52
CD5L_HUMAN,0.697,0.707,0.727,1.0,0.091,-0.659,0.04737,41,11,52
HV335_HUMAN,0.696,0.561,0.909,1.0,0.0,-0.453,0.048641,41,11,52
ACYP2_HUMAN,0.696,0.854,0.636,0.951,0.273,0.701,0.048641,41,11,52
GUAA_HUMAN,0.696,0.902,0.455,0.951,0.273,-0.621,0.048636,41,11,52
CRIP1_HUMAN,0.696,0.756,0.636,0.951,0.273,1.311,0.048641,41,11,52
HSP72_HUMAN,0.696,0.634,0.818,0.976,0.273,1.105,0.048641,41,11,52
1433G_HUMAN,0.696,0.902,0.545,0.976,0.273,-0.456,0.048641,41,11,52
MYDGF_HUMAN,0.696,0.707,0.636,1.0,0.091,0.522,0.048641,41,11,52
F262_HUMAN,0.694,0.902,0.455,0.951,0.364,0.872,0.051257,41,11,52
MMP2_HUMAN,0.694,0.902,0.455,0.951,0.364,0.934,0.051257,41,11,52
FCG3A_HUMAN,0.694,0.78,0.636,1.0,0.273,0.577,0.051257,41,11,52
DPOD1_HUMAN,0.694,0.805,0.636,0.976,0.182,-0.543,0.051257,41,11,52
S10AB_HUMAN,0.694,0.878,0.545,0.951,0.455,0.718,0.051257,41,11,52
GNAQ_HUMAN,0.694,0.537,0.818,0.976,0.091,0.726,0.051257,41,11,52
PRPS1_HUMAN,0.694,0.39,1.0,0.976,0.273,-0.65,0.051257,41,11,52
1433Z_HUMAN,0.694,0.78,0.636,0.951,0.182,-0.442,0.051257,41,11,52
CUL2_HUMAN,0.694,1.0,0.364,1.0,0.364,-0.645,0.051257,41,11,52
OXR1_HUMAN,0.694,0.854,0.545,0.951,0.182,0.623,0.051257,41,11,52
KCD12_HUMAN,0.694,0.927,0.636,1.0,0.455,-0.85,0.051257,41,11,52
PACN1_HUMAN,0.694,0.951,0.455,0.951,0.455,0.888,0.051257,41,11,52
TRM1_HUMAN,0.694,0.78,0.727,1.0,0.182,-0.646,0.051257,41,11,52
IMA3_HUMAN,0.692,0.707,0.727,0.951,0.273,-0.454,0.05399,41,11,52
ADA_HUMAN,0.692,0.902,0.455,1.0,0.273,-0.828,0.05399,41,11,52
PFKAM_HUMAN,0.692,0.805,0.636,0.976,0.364,-0.98,0.05399,41,11,52
CO6A1_HUMAN,0.692,0.805,0.545,0.951,0.091,0.814,0.05399,41,11,52
PPM1F_HUMAN,0.692,0.854,0.545,1.0,0.364,-0.553,0.05399,41,11,52
