Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
PROS_HUMAN,0.718,0.571,0.842,1.0,0.211,0.766,0.017184,14,38,52
F16P1_HUMAN,0.718,0.571,0.921,1.0,0.105,-0.973,0.017184,14,38,52
DHYS_HUMAN,0.718,0.929,0.5,1.0,0.237,0.787,0.017184,14,38,52
SERPH_HUMAN,0.718,0.857,0.632,1.0,0.132,1.096,0.017184,14,38,52
DSC2_HUMAN,0.718,0.857,0.5,1.0,0.237,-1.042,0.017184,14,38,52
ITIH3_HUMAN,0.718,0.857,0.632,1.0,0.105,0.676,0.017184,14,38,52
EPS8_HUMAN,0.718,0.786,0.684,1.0,0.289,-0.745,0.017184,14,38,52
PADI2_HUMAN,0.718,0.786,0.684,1.0,0.053,-0.699,0.017184,14,38,52
PLOD2_HUMAN,0.716,0.429,0.947,1.0,0.263,1.155,0.018171,14,38,52
MBL2_HUMAN,0.716,0.571,0.816,1.0,0.158,0.969,0.018171,14,38,52
LV327_HUMAN,0.716,0.643,0.816,1.0,0.211,0.901,0.018171,14,38,52
CO4A2_HUMAN,0.716,0.714,0.763,1.0,0.0,-0.67,0.018171,14,38,52
FHR5_HUMAN,0.716,0.857,0.553,1.0,0.316,0.612,0.018171,14,38,52
IDHC_HUMAN,0.714,0.643,0.737,1.0,0.211,-0.722,0.019207,14,38,52
PSB9_HUMAN,0.714,0.857,0.605,1.0,0.0,-0.788,0.019207,14,38,52
PSB10_HUMAN,0.714,0.786,0.684,1.0,0.0,-0.717,0.019207,14,38,52
ADDB_HUMAN,0.714,0.786,0.605,1.0,0.237,0.805,0.019207,14,38,52
SHPS1_HUMAN,0.714,0.857,0.579,1.0,0.316,-0.61,0.019207,14,38,52
ANT3_HUMAN,0.712,0.786,0.658,1.0,0.132,0.687,0.020294,14,38,52
CATB_HUMAN,0.712,0.5,0.921,1.0,0.132,-0.867,0.020294,14,38,52
NGAL_HUMAN,0.712,1.0,0.395,1.0,0.395,-1.453,0.020294,14,38,52
MGT5A_HUMAN,0.712,0.571,0.816,1.0,0.158,-0.581,0.020294,14,38,52
STAU2_HUMAN,0.712,0.714,0.737,1.0,0.0,0.546,0.020294,14,38,52
WASC3_HUMAN,0.712,0.929,0.526,1.0,0.132,-0.631,0.020294,14,38,52
AGRIN_HUMAN,0.711,0.571,0.895,1.0,0.026,-1.113,0.021435,14,38,52
LEG8_HUMAN,0.711,0.429,0.947,1.0,0.079,-0.747,0.021435,14,38,52
TOM1_HUMAN,0.711,0.857,0.553,1.0,0.211,-0.625,0.021435,14,38,52
VIME_HUMAN,0.711,0.571,0.789,1.0,0.342,-0.672,0.021435,14,38,52
A2AP_HUMAN,0.711,0.5,0.868,1.0,0.316,0.657,0.021435,14,38,52
CH60_HUMAN,0.711,0.5,0.842,1.0,0.132,0.849,0.021435,14,38,52
QPCT_HUMAN,0.711,0.857,0.632,1.0,0.105,-0.899,0.021435,14,38,52
TRM5_HUMAN,0.711,0.929,0.447,1.0,0.053,0.58,0.021435,14,38,52
FCGBP_HUMAN,0.711,0.714,0.684,1.0,0.237,-1.066,0.021435,14,38,52
AGR2_HUMAN,0.709,0.571,0.842,1.0,0.158,-1.338,0.022631,14,38,52
CO8A_HUMAN,0.709,0.786,0.684,1.0,0.342,0.605,0.022631,14,38,52
ARF6_HUMAN,0.709,0.643,0.816,1.0,0.105,-0.708,0.022628,14,38,52
PDLI5_HUMAN,0.709,0.429,0.921,1.0,0.184,-0.621,0.022631,14,38,52
MYOF_HUMAN,0.709,0.714,0.684,1.0,0.026,-0.774,0.022631,14,38,52
SDC1_HUMAN,0.707,0.429,0.921,1.0,0.289,-0.949,0.023885,14,38,52
IL16_HUMAN,0.707,0.714,0.763,1.0,0.026,-0.638,0.023885,14,38,52
PDLI1_HUMAN,0.705,0.786,0.632,1.0,0.263,-0.955,0.025199,14,38,52
RALA_HUMAN,0.705,0.643,0.789,1.0,0.184,-0.533,0.025199,14,38,52
HV323_HUMAN,0.705,0.714,0.684,1.0,0.079,0.522,0.025199,14,38,52
CPN2_HUMAN,0.705,0.786,0.658,1.0,0.211,0.599,0.025199,14,38,52
AFAD_HUMAN,0.705,0.714,0.737,1.0,0.132,-0.538,0.025199,14,38,52
PIPNA_HUMAN,0.705,0.643,0.737,1.0,0.105,-0.519,0.025199,14,38,52
CRAC1_HUMAN,0.705,0.714,0.684,1.0,0.184,0.612,0.025199,14,38,52
ITM2B_HUMAN,0.705,0.714,0.737,1.0,0.026,-0.506,0.025199,14,38,52
HV551_HUMAN,0.703,0.929,0.553,1.0,0.211,0.566,0.026574,14,38,52
AACT_HUMAN,0.703,0.714,0.658,1.0,0.368,1.159,0.026571,14,38,52
MERTK_HUMAN,0.703,1.0,0.342,1.0,0.342,-0.633,0.026574,14,38,52
TBL1R_HUMAN,0.703,0.571,0.895,1.0,0.105,0.852,0.026574,14,38,52
APMAP_HUMAN,0.703,0.857,0.632,1.0,0.132,0.588,0.026574,14,38,52
LZTL1_HUMAN,0.703,0.929,0.447,1.0,0.263,-0.621,0.026574,14,38,52
HV349_HUMAN,0.701,0.929,0.474,1.0,0.289,0.683,0.028015,14,38,52
GYS1_HUMAN,0.701,0.786,0.658,1.0,0.079,0.574,0.028015,14,38,52
CLIP1_HUMAN,0.701,0.714,0.816,1.0,0.079,-0.429,0.028015,14,38,52
GUAA_HUMAN,0.701,0.571,0.816,1.0,0.079,0.63,0.028011,14,38,52
GNAQ_HUMAN,0.701,0.929,0.421,1.0,0.342,-0.726,0.028015,14,38,52
OCLN_HUMAN,0.701,0.857,0.553,1.0,0.158,-0.752,0.028015,14,38,52
PRUN1_HUMAN,0.701,0.929,0.447,1.0,0.079,0.53,0.028015,14,38,52
GSLG1_HUMAN,0.701,0.857,0.526,1.0,0.026,-0.57,0.028015,14,38,52
CIA2A_HUMAN,0.701,0.643,0.789,1.0,0.158,-0.445,0.028015,14,38,52
SPTB1_HUMAN,0.699,0.929,0.5,1.0,0.237,0.898,0.029521,14,38,52
C4BPA_HUMAN,0.699,0.714,0.737,1.0,0.263,1.011,0.029521,14,38,52
AMRP_HUMAN,0.699,0.929,0.447,1.0,0.105,0.703,0.029521,14,38,52
CTNB1_HUMAN,0.699,0.929,0.5,1.0,0.368,-0.733,0.029521,14,38,52
STC1_HUMAN,0.699,0.643,0.789,1.0,0.263,-0.811,0.029521,14,38,52
SH24A_HUMAN,0.699,0.571,0.789,1.0,0.184,-0.633,0.029521,14,38,52
ECHD1_HUMAN,0.699,0.643,0.816,1.0,0.0,-0.505,0.029521,14,38,52
UB2D4_HUMAN,0.699,0.643,0.711,1.0,0.184,-0.594,0.029521,14,38,52
LTOR2_HUMAN,0.699,0.571,0.868,1.0,0.237,-0.433,0.029521,14,38,52
PMM2_HUMAN,0.697,0.857,0.553,1.0,0.105,-0.549,0.031097,14,38,52
CBPN_HUMAN,0.697,0.786,0.632,1.0,0.289,0.619,0.031097,14,38,52
SPTA1_HUMAN,0.697,0.857,0.474,1.0,0.316,0.895,0.031097,14,38,52
CO8B_HUMAN,0.697,0.786,0.579,1.0,0.342,0.687,0.031097,14,38,52
GPX3_HUMAN,0.697,0.714,0.737,1.0,0.105,0.472,0.031097,14,38,52
PTGDS_HUMAN,0.697,0.857,0.579,1.0,0.289,-0.896,0.031097,14,38,52
MMP14_HUMAN,0.697,0.786,0.711,1.0,0.184,-0.555,0.031097,14,38,52
PI16_HUMAN,0.697,0.714,0.737,1.0,0.0,0.494,0.031097,14,38,52
SNX18_HUMAN,0.697,0.857,0.579,1.0,0.132,-0.534,0.031097,14,38,52
DMBT1_HUMAN,0.697,0.571,0.842,1.0,0.184,-2.178,0.031097,14,38,52
TS101_HUMAN,0.696,0.571,0.763,1.0,0.316,-0.538,0.031909,14,38,52
GTR1_HUMAN,0.695,0.857,0.526,1.0,0.158,0.946,0.032745,14,38,52
SAA1_HUMAN,0.695,0.643,0.711,1.0,0.263,1.299,0.032745,14,38,52
NCF2_HUMAN,0.695,0.571,0.816,1.0,0.0,-0.522,0.032745,14,38,52
CADH3_HUMAN,0.695,0.643,0.684,1.0,0.263,-1.049,0.032745,14,38,52
SPB8_HUMAN,0.695,0.786,0.684,1.0,0.026,-0.464,0.032745,14,38,52
2ABA_HUMAN,0.695,0.571,0.868,1.0,0.0,-0.666,0.032745,14,38,52
GALK2_HUMAN,0.695,0.786,0.658,1.0,0.053,-0.631,0.032745,14,38,52
FLNC_HUMAN,0.695,0.786,0.579,1.0,0.132,1.031,0.032745,14,38,52
PTK7_HUMAN,0.695,0.786,0.579,1.0,0.211,-0.671,0.032745,14,38,52
DSG2_HUMAN,0.695,1.0,0.368,1.0,0.368,-0.831,0.032745,14,38,52
PSMF1_HUMAN,0.695,0.429,0.947,1.0,0.132,0.463,0.032745,14,38,52
ELMO1_HUMAN,0.695,0.786,0.579,1.0,0.158,-0.543,0.032745,14,38,52
EHD4_HUMAN,0.695,0.714,0.684,1.0,0.289,-0.658,0.032745,14,38,52
PICK1_HUMAN,0.695,0.929,0.447,1.0,0.368,-0.467,0.032745,14,38,52
LTOR3_HUMAN,0.695,0.714,0.605,1.0,0.316,-0.443,0.032745,14,38,52
IGLC7_HUMAN,0.694,0.786,0.632,1.0,0.105,0.437,0.034467,14,38,52
HV103_HUMAN,0.694,0.714,0.632,1.0,0.342,0.549,0.034467,14,38,52
HV102_HUMAN,0.694,0.643,0.737,1.0,0.158,0.537,0.034467,14,38,52
CASP1_HUMAN,0.694,0.571,0.789,1.0,0.0,-0.657,0.034467,14,38,52
EFNB1_HUMAN,0.694,0.643,0.763,1.0,0.132,-0.627,0.034467,14,38,52
FBLN3_HUMAN,0.694,0.857,0.553,1.0,0.158,0.455,0.034467,14,38,52
TRXR1_HUMAN,0.694,0.857,0.526,1.0,0.132,-0.583,0.034467,14,38,52
NUDC1_HUMAN,0.694,0.714,0.711,1.0,0.053,0.538,0.034467,14,38,52
SEPT5_HUMAN,0.694,0.714,0.737,1.0,0.105,0.443,0.034467,14,38,52
SMC4_HUMAN,0.694,0.643,0.789,1.0,0.158,0.799,0.034467,14,38,52
GLTP_HUMAN,0.694,0.857,0.526,1.0,0.158,-0.576,0.034467,14,38,52
PLMN_HUMAN,0.692,0.929,0.474,1.0,0.316,0.552,0.036266,14,38,52
CRYAB_HUMAN,0.692,0.786,0.553,1.0,0.316,1.201,0.036266,14,38,52
PROC_HUMAN,0.692,1.0,0.368,1.0,0.368,0.65,0.036266,14,38,52
CO8G_HUMAN,0.692,1.0,0.395,1.0,0.395,0.555,0.036266,14,38,52
UBP14_HUMAN,0.692,0.786,0.553,1.0,0.263,0.482,0.036266,14,38,52
PCM1_HUMAN,0.692,0.571,0.816,1.0,0.0,-0.484,0.036266,14,38,52
AB1IP_HUMAN,0.692,0.857,0.632,1.0,0.026,-0.511,0.036266,14,38,52
COR2A_HUMAN,0.692,0.786,0.605,1.0,0.211,-0.459,0.036266,14,38,52
DNJA4_HUMAN,0.692,1.0,0.5,1.0,0.5,-0.701,0.036266,14,38,52
ARHG2_HUMAN,0.692,0.857,0.553,1.0,0.158,0.453,0.036266,14,38,52
