Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
A0A075B6S2;A0A075B6S6;A2NJV5;P06310	P01615;P01614;P06310;A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5	KV229_HUMAN;KV230_HUMAN;KVD29_HUMAN;KVD30_HUMAN	IGKV2-29;IGKV2-30;IGKV2D-29;IGKV2D-30	Immunoglobulin kappa variable 2D-29
A0A075B6S2;A2NJV5	A0A075B6S2;A2NJV5	KV229_HUMAN;KVD29_HUMAN	IGKV2-29;IGKV2D-29	Immunoglobulin kappa variable 2D-29
A0A075B6S5	A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27
A0A075B6S5;A0A0C4DH67	A0A075B6S5;A0A0C4DH67;A0A0C4DH69	KV108_HUMAN;KV127_HUMAN	IGKV1-27;IGKV1-8	Immunoglobulin kappa variable 1-27
A0A075B6S6	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30
A0A075B6S6;P06310	P06310;A0A075B6S6	KV230_HUMAN;KVD30_HUMAN	IGKV2-30;IGKV2D-30	Immunoglobulin kappa variable 2D-30
A0A075B6S9;P0DSN7	A0A075B6S9;P0DSN7	KV137_HUMAN;KVD37_HUMAN	IGKV1-37;IGKV1D-37	Probable non-functional immunoglobulinn kappa variable 1-37
A0A075B7B5	O75044;A0A075B7B5;B7ZM87;Q5VZB4	A0A075B7B5_HUMAN	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2
A0A075B7B6	A0A075B7B6	A0A075B7B6_HUMAN	IGHV4OR15-8	Immunoglobulin heavy variable 4/OR15-8 (non-functional) (Fragment)
A0A075B7B8	A0A075B7B8	A0A075B7B8_HUMAN	IGHV3OR16-12	Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment)
A0A075B7D0	A0A075B7D0	A0A075B7D0_HUMAN	IGHV1OR15-1	Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment)
A0A075B7D8	A0A075B7D8	A0A075B7D8_HUMAN	IGHV3OR15-7	Immunoglobulin heavy variable 3/OR15-7 (pseudogene) (Fragment)
A0A075B7E8	A0A075B7E8	A0A075B7E8_HUMAN	IGHV3OR16-13	Immunoglobulin heavy variable 3/OR16-13 (non-functional) (Fragment)
A0A075B7F0	A0A075B7F0	A0A075B7F0_HUMAN	IGHV3OR16-10	Immunoglobulin heavy variable 3/OR16-10 (non-functional) (Fragment)
A0A075B7F1;S4R3C0	A0A075B7F1;S4R3C0	A0A075B7F1_HUMAN;S4R3C0_HUMAN	IGHV3OR16-17;IGHV3OR16-8	Immunoglobulin heavy variable 3/OR16-8 (non-functional) (Fragment)
A0A087WSX0	A0A087WSX0;A0A0G2JSC0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45
A0A087WSY4	A0A087WSY4	HV432_HUMAN	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2
A0A087WSY6	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15
A0A087WSZ0	A0A087WSZ0;A0A0G2JQJ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8
A0A087WV17;A0A087X1R2;A0A0A0MR14;A0A0A0MRF2	A0A087WV17;A0A087X1R2;A0A0A0MR14;A0A0A0MRF2	A0A087WV17_HUMAN;A0A087X1R2_HUMAN;A0A0A0MR14_HUMAN;A0A0A0MRF2_HUMAN	OSCAR	Osteoclast associated Ig-like receptor
A0A087WVT8	Q6ZWJ8;A0A087WVT8;Q6ZWJ8-4;A0A087WXB2	A0A087WVT8_HUMAN	KCP	Kielin cysteine rich BMP regulator
A0A087WVV1	A0A087WVV1	A0A087WVV1_HUMAN	PSMB2	Proteasome 20S subunit beta 2
A0A087WW87;P01614	P01614;A0A087WW87	KV240_HUMAN;KVD40_HUMAN	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40
A0A087WWI0	Q9H2I8;A0A087WWI0;A0A087WZZ7	A0A087WWI0_HUMAN	LRMDA	Leucine rich melanocyte differentiation associated
A0A087WWM0	O43617;A0A087WWM0;A0A087WYS5;O43617-2	A0A087WWM0_HUMAN	TRAPPC3	Trafficking protein particle complex subunit
A0A087WWT3	CON_P02768-1;P02768;A0A087WWT3;B7WNR0;C9JKR2;P02768-3;D6RHD5;H0YA55;P02768-2	A0A087WWT3_HUMAN	ALB	Albumin
A0A087WWT3;A0A0C4DGB6	CON_P02768-1;P02768;A0A087WWT3;A0A0C4DGB6;B7WNR0;C9JKR2;P02768-3;D6RHD5;H0YA55;P02768-2	A0A087WWT3_HUMAN;A0A0C4DGB6_HUMAN	ALB	Albumin
A0A087WWT3;A0A0C4DGB6;CON_P02769	CON_P02769;CON_P02768-1;P02768;A0A087WWT3;A0A0C4DGB6;B7WNR0;C9JKR2;P02768-3;D6RHD5;H0YA55;P02768-2	A0A087WWT3_HUMAN;A0A0C4DGB6_HUMAN;SWISS-PROT:P02769	ALB;SWISS-PROT:P02769	Albumin
A0A087WWY3	P21333;P21333-2;Q60FE5;A0A087WWY3;A0A7I2V3E6;A0A7P0NMY4;F8WE98	A0A087WWY3_HUMAN	FLNA	Filamin A
A0A087WYE8;A0A0B4J2B8	A0A087WYE8;A0A0B4J2B8	A0A087WYE8_HUMAN;A0A0B4J2B8_HUMAN	IGHV1OR15-9;IGHV1OR21-1	Immunoglobulin heavy variable 1/OR21-1 (non-functional) (Fragment)
A0A087WZ65	Q12955;H0Y9E9;Q12955-4;Q12955-5;Q12955-6;Q12955-7;A0A087WTF3;A0A087WZ65	A0A087WZ65_HUMAN	ANK3	Ankyrin 3 (Fragment)
A0A087WZE9	A0A087WZE9;A0A994J3W4	A0A087WZE9_HUMAN	HMGN3	High mobility group nucleosomal binding domain 3
A0A087X0M8;H7C0J0	A0A087X0M8;H7C0J0	A0A087X0M8_HUMAN;H7C0J0_HUMAN	CHL1	Cell adhesion molecule L1 like
A0A096LNZ0;A0A096LP25	A0A096LNZ0;A0A096LP25	A0A096LNZ0_HUMAN;A0A096LP25_HUMAN	AAK1	AP2 associated kinase 1 (Fragment)
A0A096LP07;A0A096LPJ3;A8K070	A0A096LP07;A0A096LPJ3;A8K070	A0A096LP07_HUMAN;A0A096LPJ3_HUMAN;A8K070_HUMAN	GPS1	G protein pathway suppressor 1
A0A096LP69	A0A096LP69	A0A096LP69_HUMAN	CD99	CD99 molecule (Xg blood group)
A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0	A0A0C4DFM0;G3V267;G3V4T6;G3V5T0;A0A0A0MR33	A0A0A0MR33_HUMAN;A0A0C4DFM0_HUMAN;G3V267_HUMAN;G3V4T6_HUMAN;G3V5T0_HUMAN	GSTZ1	Glutathione S-transferase zeta 1
A0A0A0MRH9	A0A0A0MRH9	A0A0A0MRH9_HUMAN	ASTN2	Astrotactin 2
A0A0A0MRZ8	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11
A0A0A0MRZ9	A0A0A0MRZ9	LV552_HUMAN	IGLV5-52	Immunoglobulin lambda variable 5-52
A0A0A0MS14	A0A0A0MS14	HV145_HUMAN	IGHV1-45	Immunoglobulin heavy variable 1-45
A0A0A0MS15	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49
A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V6	A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9;A0A4W8ZXM2	HV315_HUMAN;HV349_HUMAN;HV373_HUMAN	IGHV3-15;IGHV3-49;IGHV3-73	Immunoglobulin heavy variable 3-49
A0A0A0MS15;A0A0B4J1V6	A0A0A0MS15;A0A0B4J1V6	HV349_HUMAN;HV373_HUMAN	IGHV3-49;IGHV3-73	Immunoglobulin heavy variable 3-49
A0A0A0MT01	A0A0A0MT01	A0A0A0MT01_HUMAN	GSN	Gelsolin
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21
A0A0A0MT69	A0A0A0MT69	A0A0A0MT69_HUMAN	IGKJ4	Immunoglobulin kappa joining 4 (Fragment)
A0A0A0MT89	A0A0A0MT89	KJ01_HUMAN	IGKJ1	Immunoglobulin kappa joining 1
A0A0A0MT96	A0A0A0MT96	A0A0A0MT96_HUMAN	IGKJ3	Immunoglobulin kappa joining 3 (Fragment)
A0A0A0MTA3	A0A0A0MTA3	A0A0A0MTA3_HUMAN	IGKJ5	Immunoglobulin kappa joining 5 (Fragment)
A0A0A0MTC1;A0A0A0MTR7	A0A0A0MTC1;A0A0A0MTR7	A0A0A0MTC1_HUMAN;A0A0A0MTR7_HUMAN	RNF213	Ring finger protein 213
A0A0A6YYB3;B1AMR4	O43307;Q96N96;Q9NR80;A0A0A6YYB3;A0A0A6YYF8;A0A1B0GV82;A0A1B0GV84;A0A1B0GVV2;A0A1B0GWI5;A0A5F9ZHY9;B1AMR3;B1AMR4;O43307-2;O43307-3;Q96N96-2;Q96N96-3;Q96N96-4;Q96N96-5;Q96N96-6;Q9NR80-3;Q9NR80-4;A0A087X0P1;A0A0A0MRY4;A0A0C4DFY6;A0A1B0GTF0;A0A1B0GVC4;A0A5F9ZGZ3;A0A5F9ZI31;E7EV07;E9PEM0;E9PFR9;H0YCT6;J3KQJ8	A0A0A6YYB3_HUMAN;B1AMR4_HUMAN	ARHGEF9	Rho guanine nucleotide exchange factor 9
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15
A0A0B4J1V0;A0A0B4J1V6	A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9;A0A4W8ZXM2	HV315_HUMAN;HV373_HUMAN	IGHV3-15;IGHV3-73	Immunoglobulin heavy variable 3-15
A0A0B4J1V1	A0A0B4J1V1	HV321_HUMAN	IGHV3-21	Immunoglobulin heavy variable 3-21
A0A0B4J1V1;A0A0B4J1X5;A0A0C4DH32;P01762;P01763;P01780;P01782	P01780;P01762;P01763;P01782;A0A0B4J1V1;A0A0B4J1X5;A0A0C4DH32;A0A075B7F0;A0A0B4J2B5	HV307_HUMAN;HV309_HUMAN;HV311_HUMAN;HV320_HUMAN;HV321_HUMAN;HV348_HUMAN;HV374_HUMAN	IGHV3-11;IGHV3-20;IGHV3-21;IGHV3-48;IGHV3-7;IGHV3-74;IGHV3-9	Immunoglobulin heavy variable 3-21
A0A0B4J1V1;A0A0B4J1X5;A0A0C4DH42;A0A0J9YVY3;P01762;P01763;P01767;P01772;P01780	P01772;P01780;P01762;P01763;P01767;A0A0B4J1V1;A0A0B4J1X5;A0A0C4DH42;A0A0J9YVY3;P0DP02	HV307_HUMAN;HV311_HUMAN;HV321_HUMAN;HV333_HUMAN;HV348_HUMAN;HV353_HUMAN;HV366_HUMAN;HV374_HUMAN;HV741_HUMAN	IGHV3-11;IGHV3-21;IGHV3-33;IGHV3-48;IGHV3-53;IGHV3-66;IGHV3-7;IGHV3-74;IGHV7-4-1	Immunoglobulin heavy variable 3-21
A0A0B4J1V1;A0A0B4J1X8;A0A0C4DH32;P01762;P01763;P01766;P01780;P01782	P01780;P01762;P01763;P01766;P01782;A0A0B4J1V1;A0A0B4J1X8;A0A0C4DH32;P0DP04;A0A075B7F0;A0A0B4J2B5	HV307_HUMAN;HV309_HUMAN;HV311_HUMAN;HV313_HUMAN;HV320_HUMAN;HV321_HUMAN;HV343_HUMAN;HV348_HUMAN	IGHV3-11;IGHV3-13;IGHV3-20;IGHV3-21;IGHV3-43;IGHV3-48;IGHV3-7;IGHV3-9	Immunoglobulin heavy variable 3-21
A0A0B4J1V1;P01762;P01763;P01780	P01780;P01762;P01763;A0A0B4J1V1	HV307_HUMAN;HV311_HUMAN;HV321_HUMAN;HV348_HUMAN	IGHV3-11;IGHV3-21;IGHV3-48;IGHV3-7	Immunoglobulin heavy variable 3-21
A0A0B4J1V1;P01763;P01780	P01780;P01762;P01763;A0A0B4J1V1	HV307_HUMAN;HV321_HUMAN;HV348_HUMAN	IGHV3-21;IGHV3-48;IGHV3-7	Immunoglobulin heavy variable 3-21
A0A0B4J1V2	A0A0B4J1V2;A0A0B4J2B6	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26
A0A0B4J1V6	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73
A0A0B4J1W3	Q9BXJ9;A0A0B4J1W3;Q9BXJ9-4;A0A8V8TPI7;A0A8V8TQ34;A0A8V8TQT7	A0A0B4J1W3_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit
A0A0B4J1X5	A0A0B4J1X5;A0A075B7E8	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74
A0A0B4J1X5;A0A0C4DH30;A0A0C4DH35;P01764	P01764;A0A0B4J1X5;A0A0C4DH30;A0A0C4DH35;A0A075B7D8;A0A075B7E8	HV316_HUMAN;HV323_HUMAN;HV335_HUMAN;HV374_HUMAN	IGHV3-16;IGHV3-23;IGHV3-35;IGHV3-74	Immunoglobulin heavy variable 3-74
A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01772	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03;A0A075B7B8;A0A075B7E8;A0A0J9YY99	HV323_HUMAN;HV333_HUMAN;HV353_HUMAN;HV366_HUMAN;HV374_HUMAN	IGHV3-23;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74	Immunoglobulin heavy variable 3-74
A0A0B4J1X5;A0A0C4DH42;P01767;P01772	P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02	HV333_HUMAN;HV353_HUMAN;HV366_HUMAN;HV374_HUMAN	IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74	Immunoglobulin heavy variable 3-74
A0A0B4J1X8	A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49
A0A0B4J1Y9	A0A0B4J1Y9;A0A4W8ZXM2	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72
A0A0B4J213	P62888;A0A0B4J213;A0A0C4DH44;E5RI99	A0A0B4J213_HUMAN	RPL30	Ribosomal protein L30
A0A0B4J269	Q13509;A0A0B4J269;G3V2A3;Q13509-2	A0A0B4J269_HUMAN		G-protein coupled receptors family 1 profile domain-containing protein
A0A0B4J269;G3V542	Q13509;A0A0B4J269;G3V2A3;G3V542;Q13509-2	A0A0B4J269_HUMAN;G3V542_HUMAN	TUBB3	G-protein coupled receptors family 1 profile domain-containing protein
A0A0B4J2A2	A0A0B4J2A2;P0DN37	PAL4C_HUMAN	PPIAL4C	Peptidyl-prolyl cis-trans isomerase A-like 4C
A0A0B4J2B5	A0A0B4J2B5;A0A4W8ZXM2	A0A0B4J2B5_HUMAN	IGHV3OR16-9	Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment)
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2;A0A0B4J2D5-2;P0DPI2-2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09	KV113_HUMAN;KVD13_HUMAN	IGKV1-13;IGKV1D-13	Immunoglobulin kappa variable 1D-13
A0A0B4J2H0	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	P01742;P01743;A0A0B4J2H0;A0A0C4DH29;P0DP01	HV103_HUMAN;HV108_HUMAN;HV146_HUMAN;HV169_HUMAN;HV69D_HUMAN	IGHV1-3;IGHV1-46;IGHV1-69;IGHV1-69D;IGHV1-8	Immunoglobulin heavy variable 1-69D
A0A0B4J2H0;P01742	P01742;A0A0B4J2H0	HV169_HUMAN;HV69D_HUMAN	IGHV1-69;IGHV1-69D	Immunoglobulin heavy variable 1-69D
A0A0C4DFL8;F5GX28;K7EQ54	A0A0C4DFL8;F5GX28;K7EQ54	A0A0C4DFL8_HUMAN;F5GX28_HUMAN;K7EQ54_HUMAN	KDM4B	[histone H3]-trimethyl-L-lysine(9) demethylase
A0A0C4DFS8	P43490;A0A7P0T895;A0A7P0T8L3;A0A7P0T9I9;A0A0C4DFS8;A0A7P0T862;A0A7P0T8D2;A0A7P0T931;A0A7P0T941;A0A7P0T973;A0A7P0TA73;A0A7P0TAS5;A0A7P0TBB7;A0A7P0Z466;B7Z8W6	A0A0C4DFS8_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase
A0A0C4DG06	P42704;A0A0C4DG06;A0A804HHY9;A0A804HI40;A0A804HIG4;A0A804HIN4;A0A804HIQ7;A0A804HIV5;A0A804HJH8;A0A804HJZ1;A0A804HK02;A0A804HK30;A0A804HKI2;A0A804HKR3;A0A804HL40;A0A804HLG8;B8ZZ38;C9JCA9	A0A0C4DG06_HUMAN	LRPPRC	Leucine rich pentatricopeptide repeat containing
A0A0C4DG89	Q7L014;A0A0C4DG89	A0A0C4DG89_HUMAN	DDX46	RNA helicase
A0A0C4DGB6	CON_P02768-1;P02768;A0A0C4DGB6;B7WNR0;C9JKR2;D6RHD5;H0YA55;P02768-2	A0A0C4DGB6_HUMAN	ALB	Albumin
A0A0C4DGB6;CON_P02769	CON_P02769;CON_P02768-1;P02768;A0A0C4DGB6;B7WNR0;C9JKR2;D6RHD5;H0YA55;P02768-2	A0A0C4DGB6_HUMAN;SWISS-PROT:P02769	ALB;SWISS-PROT:P02769	Albumin
