,assembly,n_uniprots,composition,crystal_id
2,3,1.0,Homo,5fdo
3,4,1.0,Homo,5fdo
0,1,1.0,Homo,6b4l
1,2,1.0,Homo,6b4l
0,1,2.0,Hetero,3io9
0,1,2.0,Hetero,6qfi
0,1,1.0,Homo,2mhs
0,1,1.0,Homo,6qgd
0,1,1.0,Homo,7nb4
0,1,1.0,Homo,6mbe
0,1,2.0,Hetero,2nla
0,1,1.0,Homo,4hw3
1,2,1.0,Homo,4hw3
2,3,1.0,Homo,4hw3
3,4,1.0,Homo,4hw3
4,5,1.0,Homo,4hw3
5,6,1.0,Homo,4hw3
6,7,1.0,Homo,4hw3
7,8,1.0,Homo,4hw3
8,9,1.0,Homo,4hw3
9,10,1.0,Homo,4hw3
10,11,1.0,Homo,4hw3
11,12,1.0,Homo,4hw3
0,1,1.0,Homo,6oqb
1,2,1.0,Homo,6oqb
0,1,4.0,Hetero,5vx2
0,1,1.0,Homo,3wix
1,2,1.0,Homo,3wix
2,3,1.0,Homo,3wix
3,4,1.0,Homo,3wix
0,1,1.0,Homo,6qz8
0,1,1.0,Homo,6b4u
0,1,0.0,Hetero,5ku9
1,2,0.0,Hetero,5ku9
0,1,1.0,Homo,6u67
1,2,1.0,Homo,6u67
0,1,1.0,Homo,8g3y
0,1,1.0,Homo,6qyk
0,1,1.0,Homo,6oqc
1,2,1.0,Homo,6oqc
0,1,4.0,Homo,6stj
0,1,1.0,Homo,6vbx
1,2,1.0,Homo,6vbx
0,1,1.0,Homo,8el1
1,2,1.0,Homo,8el1
2,3,1.0,Homo,8el1
3,4,1.0,Homo,8el1
0,1,1.0,Homo,3kz0
1,2,1.0,Homo,3kz0
0,1,1.0,Homo,6qz7
0,1,1.0,Homo,6ybg
1,2,1.0,Homo,6ybg
0,1,1.0,Homo,5iez
1,2,1.0,Homo,5iez
2,3,1.0,Homo,5iez
3,4,1.0,Homo,5iez
0,1,1.0,Homo,6ne5
1,2,1.0,Homo,6ne5
2,3,1.0,Homo,6ne5
3,4,1.0,Homo,6ne5
0,1,1.0,Homo,4wmx
0,1,1.0,Homo,6qb3
0,1,1.0,Homo,6qz6
0,1,1.0,Homo,4wms
0,1,1.0,Homo,6udx
1,2,1.0,Homo,6udx
0,1,2.0,Hetero,6qfm
0,1,1.0,Homo,6qxj
0,1,1.0,Homo,6u6f
1,2,1.0,Homo,6u6f
2,3,1.0,Homo,6u6f
0,1,1.0,Homo,6oqd
1,2,1.0,Homo,6oqd
0,1,1.0,Homo,5jsb
1,2,1.0,Homo,5jsb
2,3,1.0,Homo,5jsb
3,4,1.0,Homo,5jsb
4,5,1.0,Homo,5jsb
5,6,1.0,Homo,5jsb
0,1,1.0,Homo,4zbf
1,2,1.0,Homo,4zbf
2,3,1.0,Homo,4zbf
3,4,1.0,Homo,4zbf
4,5,1.0,Homo,4zbf
5,6,1.0,Homo,4zbf
6,7,1.0,Homo,4zbf
7,8,1.0,Homo,4zbf
8,9,1.0,Homo,4zbf
9,10,1.0,Homo,4zbf
10,11,1.0,Homo,4zbf
11,12,1.0,Homo,4zbf
12,13,1.0,Homo,4zbf
0,1,1.0,Homo,6p3p
0,1,1.0,Homo,8svy
0,1,1.0,Homo,6o6g
0,1,1.0,Homo,8g3x
0,1,1.0,Homo,5fc4
0,1,1.0,Homo,6fs0
0,1,2.0,Hetero,3twu
0,1,2.0,Hetero,3kj2
1,2,2.0,Hetero,3kj2
0,1,1.0,Homo,8h7b
1,2,1.0,Homo,8h7b
0,1,2.0,Hetero,3kj1
1,2,2.0,Hetero,3kj1
0,1,2.0,Hetero,3pk1
1,2,2.0,Hetero,3pk1
0,1,1.0,Homo,6udu
1,2,1.0,Homo,6udu
0,1,1.0,Homo,6qyp
0,1,1.0,Homo,6u64
0,1,1.0,Homo,5c3f
0,1,1.0,Homo,5if4
1,2,1.0,Homo,5if4
0,1,2.0,Hetero,3d7v
0,1,1.0,Homo,5mev
0,1,1.0,Homo,4wgi
0,1,1.0,Homo,6udt
1,2,1.0,Homo,6udt
0,1,1.0,Homo,8g3u
0,1,1.0,Homo,5w89
0,1,1.0,Homo,6udy
1,2,1.0,Homo,6udy
0,1,1.0,Homo,7nb7
1,2,1.0,Homo,7nb7
2,3,1.0,Homo,7nb7
3,4,1.0,Homo,7nb7
0,1,1.0,Homo,6qfq
0,1,1.0,Homo,6oqn
1,2,1.0,Homo,6oqn
0,1,1.0,Homo,8t6f
0,1,1.0,Homo,4bpj
0,1,1.0,Homo,6bw2
1,2,1.0,Homo,6bw2
2,3,1.0,Homo,6bw2
3,4,1.0,Homo,6bw2
0,1,1.0,Homo,4oq6
1,2,1.0,Homo,4oq6
0,1,2.0,Homo,3mk8
0,1,1.0,Homo,4wmu
0,1,1.0,Homo,4zbi
1,2,1.0,Homo,4zbi
2,3,1.0,Homo,4zbi
3,4,1.0,Homo,4zbi
4,5,1.0,Homo,4zbi
5,6,1.0,Homo,4zbi
6,7,1.0,Homo,4zbi
7,8,1.0,Homo,4zbi
8,9,1.0,Homo,4zbi
9,10,1.0,Homo,4zbi
10,11,1.0,Homo,4zbi
11,12,1.0,Homo,4zbi
0,1,1.0,Homo,8g3s
0,1,1.0,Homo,8el0
0,1,1.0,Homo,4hw4
1,2,1.0,Homo,4hw4
0,1,1.0,Homo,6udv
1,2,1.0,Homo,6udv
0,1,1.0,Homo,4wmr
1,2,1.0,Homo,4wmr
2,3,1.0,Homo,4wmr
0,1,1.0,Homo,6u65
1,2,1.0,Homo,6u65
2,3,1.0,Homo,6u65
3,4,1.0,Homo,6u65
0,1,1.0,Homo,6fs2
1,2,1.0,Homo,6fs2
0,1,1.0,Homo,6ovc
0,1,1.0,Homo,4wmv
0,1,1.0,Homo,4hw2
1,2,1.0,Homo,4hw2
2,3,1.0,Homo,4hw2
3,4,1.0,Homo,4hw2
4,5,1.0,Homo,4hw2
5,6,1.0,Homo,4hw2
0,1,1.0,Homo,5uum
1,2,1.0,Homo,5uum
0,1,1.0,Homo,6qyo
0,1,1.0,Homo,8qso
0,1,1.0,Homo,6qb4
0,1,1.0,Homo,5w8f
0,1,1.0,Homo,6ud2
1,2,1.0,Homo,6ud2
0,1,2.0,Hetero,3kj0
0,1,1.0,Homo,6udi
1,2,1.0,Homo,6udi
0,1,1.0,Homo,8av9
0,1,2.0,Homo,5vkc
0,1,1.0,Homo,6qyl
0,1,1.0,Homo,6ua3
0,1,2.0,Hetero,2nl9
1,2,2.0,Hetero,2nl9
2,3,2.0,Hetero,2nl9
0,1,1.0,Homo,6fs1
1,2,1.0,Homo,6fs1
0,1,1.0,Homo,6ybj
0,1,1.0,Homo,6qz5
0,1,1.0,Homo,3wiy
1,2,1.0,Homo,3wiy
2,3,1.0,Homo,3wiy
3,4,1.0,Homo,3wiy
4,5,1.0,Homo,3wiy
5,6,1.0,Homo,3wiy
0,1,1.0,Homo,2pqk
1,2,1.0,Homo,2pqk
2,3,1.0,Homo,2pqk
3,4,1.0,Homo,2pqk
4,5,1.0,Homo,2pqk
5,6,1.0,Homo,2pqk
